ευμα,n,n-s---nn3t,διακελεύματος,,,,,0
24612,δ02639,διαυλοδρομέω,v,----------,,,,,,0
24613,δ02640,διαυλοδρόμης,n,n-s---mn1e,διαυλοδρόμου,,,,,0
24614,δ02641,διαυλοδρομία,n,n-s---fn1l,διαυλοδρομίας,,,,,0
24615,δ02642,διαυλόδρομος,a,----------,,,,,,0
24616,δ02643,δίαυλος,n,n-s---mn2-,διαύλου,,,,,0
24617,δ02644,διαυλωνία,n,n-s---fn1l,διαυλωνίας,,,,,0
24618,δ02645,διαυλωνίζω,v,----------,,,,,,0
24619,δ02646,διαυλωνισμός,n,n-s---mn2-,διαυλωνισμού,,,,,0
24620,δ02647,διαυξάνω,v,----------,,,,,,0
24621,δ02648,διαυχενίζομαι,v,----------,,,,,,0
24623,δ02650,διαύω,v,----------,,,,,,0
24624,δ02651,διαφαγεῖν,v,----------,,,,,,0
24625,δ02652,διαφάδην,r,----------,,,,,,0
24626,δ02653,διαφαίνω,v,----------,,,,,,0
24627,δ02654,διαφαιρέω,v,----------,,,,,,0
24628,δ02655,διαφάνεια,n,n-s---fn1s,διαφάνειας,,,,,0
24629,δ02656,διαφανής,a,----------,,,,,,0
25358,δ03378,δίκησις,n,----------,,,,,,0
24633,δ02660,διαφαυλίζω,v,----------,,,,,,0
24634,δ02661,διάφαυμα,n,n-s---nn3t,διαφαύματος,,,,,0
24635,δ02662,διάφαυσις,n,n-s---fn3v,διαφαυσέως,,,,,0
24636,δ02663,διαφαύσκω,v,----------,,,,,,0
24637,δ02664,διαφεγγής,a,aps---cn5s,διαφεγγής διαφεγγής διαφεγγές,,,,,0
24638,δ02665,διαφερόντως,r,----------,,,,,,0
24639,δ02666,διαφέρω,v,----------,,,,/di.a.pʰé.rɔː/,,0
24640,δ02667,διάφεσις,n,n-s---fn3v,διαφεσέως,,,,,0
24641,δ02668,διαφεύγω,v,v1spia--1-,,,,,,0
24642,δ02669,διαφευκτέον,a,----------,,,,,,0
24644,δ02671,διάφευξις,n,n-s---fn3v,διαφευξέως,,,,,0
24645,δ02672,διαφημέω,v,----------,,,,,,0
24646,δ02673,διαφημίζω,v,----------,,,,,,0
24647,δ02674,διαφθαρτικός,a,aps---mn1-,διαφθαρτικός διαφθαρτική διαφθαρτικόν,,,,,0
24648,δ02675,διαφθέγγομαι,v,----------,,,,,,0
24649,δ02676,διαφθείρω,v,----------,,,,/di.apʰ.tʰěː.rɔː/,,0
24650,δ02677,διαφθίνω,v,----------,,,,,,0
24651,δ02678,διαφθονέω,v,----------,,,,,,0
24652,δ02679,διαφθορά,n,n-s---fn1l,διαφθορᾶς,,,/di.apʰ.tʰo.rǎː/,,0
24653,δ02680,διαφθορεύς,n,n-s---mn3v,διαφθορέως,,,,,0
24654,δ02681,διαφθορέω,v,----------,,,,,,0
24655,δ02682,διαφίημι,v,----------,,,,,,0
24656,δ02683,διαφιλονικέω,v,----------,,,,,,0
24657,δ02684,διαφιλοτεκνέω,v,----------,,,,,,0
24658,δ02685,διαφιλοτιμέομαι,v,----------,,,,,,0
24659,δ02686,διαφλέγω,v,----------,,,,,,0
24660,δ02688,διαφλύω,v,----------,,,,,,0
24661,δ02687,διαφλύζω,v,----------,,,,,,0
24662,δ02689,διάφοβος,a,aps---cn2-,διάφοβος διάφοβος διάφοβον,,,,,0
24663,δ02690,διαφοιβάζω,v,----------,,,,,,0
24664,δ02691,διαφοινίσσομαι,v,----------,,,,,,0
24665,δ02692,διαφοιτάω,v,----------,,,,,,0
24666,δ02693,διαφορά,n,n-s---fn1l,διαφορᾶς,,,/di.a.pʰo.rǎː/,,0
24667,δ02694,διαφορέω,v,----------,,,,,,0
24669,δ02696,διαφόρησις,n,n-s---fn3v,διαφορησέως,,,,,0
24670,δ02697,διαφορητικός,a,aps---mn1-,διαφορητικός διαφορητική διαφορητικόν,,,,,0
24671,δ02698,διαφόρητος,a,aps---cn2-,διαφόρητος διαφόρητος διαφόρητον,,,,,0
24672,δ02699,διαφορία,n,n-s---fn1l,διαφορίας,,,,,0
24673,δ02700,διάφορος,a,aps---cn2-,διάφορος διάφορος διάφορον,,,,,0
24674,δ02701,διαφορότης,n,n-s---fn3t,διαφορότητος,,,,,0
24675,δ02702,διάφραγμα,n,n-s---nn3t,διαφράγματος,,,,,0
24676,δ02703,διαφραγμάτιον,n,n-s---nn2-,διαφραγματίου,,,,,0
24677,δ02704,διαφράγνυμι,v,----------,,,,,,0
24678,δ02705,διαφραδής,a,aps---cn5s,διαφραδής διαφραδής διαφραδές,,,,,0
24679,δ02706,διαφράζω,v,----------,,,,,,0
24680,δ02707,διαφρακτέον,a,----------,,,,,,0
24681,δ02708,διάφραξις,n,n-s---fn3v,διαφραξέως,,,,,0
24682,δ02709,διαφράσσω,v,----------,,,,,,0
24683,δ02710,διαφρέω,v,----------,,,,,,0
24684,δ02711,διαφρίσσω,v,----------,,,,,,0
24685,δ02712,διαφρονέω,v,----------,,,,,,0
24687,δ02714,διαφρος,a,aps---cn2-,διαφρος διαφρος διαφρον,,,,,0
24688,δ02715,διαφρουρέω,v,----------,,,,,,0
24689,δ02716,διαφρύγω,v,----------,,,,,,0
24691,δ02718,διαφυάς,n,n-s---fn3d,διαφυάδος,,,,,0
24692,δ02719,διαφυγγάνω,v,----------,,,,,,0
24693,δ02720,διαφυγή,n,n-s---fn1e,διαφυγῆς,,,,,0
24694,δ02721,διαφυή,n,n-s---fn1e,διαφυῆς,,,,,0
24695,δ02722,διαφυλακτέος,a,aps---mn1-,διαφυλακτέος διαφυλακτέα διαφυλακτέον,,,,,0
24696,δ02723,διαφυλακτικός,a,aps---mn1-,διαφυλακτικός διαφυλακτική διαφυλακτικόν,,,,,0
24697,δ02724,διαφυλάσσω,v,----------,,,,,,0
24698,δ02725,διάφυξις,n,n-s---fn3v,διαφυξέως,,,,,0
24699,δ02726,διαφύομαι,v,----------,,,,,,0
24700,δ02727,διαφυσάω,v,----------,,,,,,0
24701,δ02728,διαφύσησις,n,n-s---fn3v,διαφυσησέως,,,,,0
24702,δ02729,διαφυσικεύομαι,v,----------,,,,,,0
24703,δ02730,διάφυσις,n,n-s---fn3v,διαφυσέως,,,,,0
24704,δ02731,διαφύσσω,v,----------,,,,,,0
24705,δ02732,διαφυτεύω,v,----------,,,,,,0
24706,δ02733,διαφωνέω,v,----------,,,,,,0
24707,δ02734,διαφωνία,n,n-s---fn1l,διαφωνίας,,,,,0
24708,δ02735,διάφωνος,a,aps---cn2-,διάφωνος διάφωνος διάφωνον,,,,,0
24709,δ02736,διαφώσκω,v,----------,,,,,,0
24710,δ02737,διαφωτίζω,v,----------,,,,,,0
24711,δ02738,διαφώτισις,n,n-s---fn3v,διαφωτισέως,,,,,0
24712,δ02739,διαχάζομαι,v,----------,,,,,,0
24713,δ02740,διαχάλασις,n,n-s---fn3v,διαχαλασέως,,,,,0
24714,δ02741,διαχάλασμα,n,n-s---nn3t,διαχαλάσματος,,,,,0
24715,δ02742,διαχαλαστέον,a,----------,,,,,,0
24716,δ02743,διαχαλάω,v,----------,,,,,,0
24718,δ02745,διαχαράσσω,v,----------,,,,,,0
24719,δ02746,διαχαρίζομαι,v,----------,,,,,,0
24720,δ02747,διαχάσκω,v,----------,,,,,,0
24721,δ02748,διαχειμάζω,v,----------,,,,,,0
24722,δ02749,διαχειρέω,v,----------,,,,,,0
24723,δ02750,διαχείρησις,n,----------,,,,,,0
24724,δ02751,διαχειρίζω,v,----------,,,,,,0
24725,δ02752,διαχείρισις,n,n-s---fn3v,διαχειρισέως,,,,,0
24726,δ02753,διαχειρισμός,n,----------,,,,,,0
24727,δ02754,διαχειριστικόν,n,----------,,,,,,0
24728,δ02755,διαχειροτονέω,v,----------,,,,,,0
24729,δ02756,διαχειροτονία,n,n-s---fn1l,διαχειροτονίας,,,,,0
24730,δ02757,διαχείρως,r,----------,,,,,,0
24731,δ02758,διαχέω,v,----------,,,,,,0
24732,δ02759,διαχλαινόω,v,----------,,,,,,0
24733,δ02760,διαχλευάζω,v,----------,,,,,,0
24734,δ02761,διαχλιαίνω,v,----------,,,,,,0
24735,δ02762,διαχλίδω,v,----------,,,,,,0
24737,δ02764,διάχολος,a,aps---cn2-,διάχολος διάχολος διάχολον,,,,,0
24738,δ02765,διαχόω,v,----------,,,,,,0
24739,δ02766,διαχράομαι,v,----------,,,,,,0
24740,δ02767,διαχρέμπτομαι,v,----------,,,,,,0
24741,δ02768,διαχρέομαι,v,----------,,,,,,0
24743,δ02770,διάχρισις,n,n-s---fn3v,διαχρισέως,,,,,0
24744,δ02771,διάχρισμα,n,n-s---nn3t,διαχρίσματος,,,,,0
24745,δ02772,διαχρισμός,n,----------,,,,,,0
24746,δ02773,διαχριστέον,a,----------,,,,,,0
24748,δ02775,διαχρίω,v,----------,,,,,,0
24749,δ02776,διάχρυσος,a,aps---cn2-,διάχρυσος διάχρυσος διάχρυσον,,,,,0
24750,δ02778,διάχυλος,a,aps---cn2-,διάχυλος διάχυλος διάχυλον,,,,,0
24751,δ02777,διαχυλόομαι,v,----------,,,,,,0
24752,δ02779,διάχυμα,n,n-s---nn3t,διαχύματος,,,,,0
24753,δ02780,διάχυσις,n,n-s---fn3v,διαχυσέως,,,,,0
24755,δ02782,διαχυτλάζω,v,----------,,,,,,0
24756,δ02783,διάχυτον,n,n-s---nn2-,διαχύτου,,,,,0
24757,δ02784,διαχωλεύω,v,----------,,,,,,0
24758,δ02785,διάχωμα,n,n-s---nn3t,διαχώματος,,,,,0
24759,δ02786,διαχωρέω,v,----------,,,,,,0
24760,δ02787,διαχώρημα,n,n-s---nn3t,διαχωρήματος,,,,,0
24761,δ02788,διαχώρησις,n,n-s---fn3v,διαχωρησέως,,,,,0
24762,δ02789,διαχωρητικός,a,aps---mn1-,διαχωρητικός διαχωρητική διαχωρητικόν,,,,,0
24763,δ02790,διαχωρίζω,v,----------,,,,/di.a.kʰɔː.ríz.dɔː/,,0
24764,δ02791,διαχώρισις,n,n-s---fn3v,διαχωρισέως,,,,,0
24765,δ02792,διαχώρισμα,n,n-s---nn3t,διαχωρίσματος,,,,,0
24766,δ02793,διαχωρισμός,n,----------,,,,,,0
24767,δ02794,διαχωριστέον,n,----------,,,,,,0
24768,δ02795,διαχωριστής,n,n-s---mn1e,διαχωριστού,,,,,0
24769,δ02796,διάχωροι,n,n-p---mn2-,διαχώρων,,,,,0
24770,δ02797,διάχωσις,n,n-s---fn3v,διαχωσέως,,,,,0
24771,δ02798,διαψαθάλλω,v,----------,,,,,,0
24772,δ02799,διαψαίρω,v,----------,,,,,,0
24773,δ02800,διαψαλάττομαι,v,----------,,,,,,0
24774,δ02801,διαψαλίζω,v,----------,,,,,,0
24775,δ02802,διαψάλλω,v,----------,,,,,,0
24776,δ02803,διάψαλμα,n,n-s---nn3t,διαψάλματος,,,/di.áp.sal.ma/,,0
24777,δ02804,διαψαμμόω,v,----------,,,,,,0
24778,δ02805,διαψαύω,v,----------,,,,,,0
24779,δ02806,διαψάω,v,----------,,,,,,0
24780,δ02807,διαψέγω,v,----------,,,,,,0
24781,δ02808,διαψεύδω,v,v1spia--1-,,,,,,0
24783,δ02810,διάψευσμα,n,n-s---nn3t,διαψεύσματος,,,,,0
24784,δ02811,διαψευστῶς,r,----------,,,,,,0
24785,δ02812,διαψηλαφάω,v,----------,,,,,,0
24786,δ02813,διαψηλαφητέον,a,----------,,,,,,0
24787,δ02814,διαψηφίζω,v,----------,,,,,,0
24788,δ02815,διαψήφισις,n,n-s---fn3v,διαψηφισέως,,,,,0
24789,δ02816,διαψηφισμός,n,----------,,,,,,0
24790,δ02817,διαψηφιστής,n,n-s---mn1e,διαψηφιστού,,,,,0
24791,δ02818,διαψηφιστός,a,aps---mn1-,διαψηφιστός διαψηφιστή διαψηφιστόν,,,,,0
24792,δ02819,διαψηφοφορέομαι,v,----------,,,,,,0
24793,δ02820,διαψήχω,v,----------,,,,,,0
24794,δ02821,διαψιθυρίζω,v,----------,,,,,,0
24795,δ02822,διάψιλος,a,aps---cn2-,διάψιλος διάψιλος διάψιλον,,,,,0
24796,δ02823,διαψοφέω,v,----------,,,,,,0
24799,δ02826,διάψυξις,n,n-s---fn3v,διαψυξέως,,,,,0
24800,δ02827,διαψύχω,v,----------,,,,,,0
24801,δ02828,διάω,v,----------,,,,,,0
24803,δ02830,διβαφής,a,aps---cn5s,διβαφής διβαφής διβαφές,,,,,0
24804,δ02831,δίβαφος,a,aps---cn2-,δίβαφος δίβαφος δίβαφον,,,,,0
24805,δ02832,διβολέω,v,----------,,,,,,0
24806,δ02833,διβολητός,n,----------,,,,,,0
24807,δ02834,διβόλητρος,n,n-s---mn2-,διβολήτρου,,,,,0
24808,δ02835,διβολία,n,n-s---fn1l,διβολίας,,,,,0
24809,δ02836,δίβολος,a,aps---cn2-,δίβολος δίβολος δίβολον,,,,,0
24810,δ02837,δίβος,n,n-s---mn2-,δίβου,,,,,0
24811,δ02838,δίβουλος,a,aps---cn2-,δίβουλος δίβουλος δίβουλον,,,,,0
24812,δ02839,δίβραχυς,a,----------,,,,,,0
24813,δ02840,δίβροχος,a,aps---cn2-,δίβροχος δίβροχος δίβροχον,,,,,0
24814,δ02841,δίγαμμα,n,n-s---nn--,-,,,,,0
24815,δ02842,δίγαμος,a,aps---cn2-,δίγαμος δίγαμος δίγαμον,,,,,0
24816,δ02843,διγενής,a,aps---cn5s,διγενής διγενής διγενές,,,/di.ɡe.nɛ̌ːs/,,0
24817,δ02844,δίγληνος,a,aps---cn2-,δίγληνος δίγληνος δίγληνον,,,,,0
24818,δ02845,δίγλωσσος,a,aps---cn2-,δίγλωσσος δίγλωσσος δίγλωσσον,,,,,0
24819,δ02846,δίγνωμος,a,aps---cn2-,δίγνωμος δίγνωμος δίγνωμον,,,,,0
24820,δ02847,διγνώμων,n,----------,,,,,,0
24821,δ02848,διγομία,n,n-s---fn1l,διγομίας,,,,,0
24822,δ02849,διγόνατος,a,aps---cn2-,διγόνατος διγόνατος διγόνατον,,,,,0
24823,δ02850,διγονέω,v,----------,,,,,,0
24824,δ02851,διγονία,n,n-s---fn1l,διγονίας,,,,,0
24825,δ02852,δίγονος,a,aps---cn2-,δίγονος δίγονος δίγονον,,,,,0
24826,δ02853,δίγυιος,a,aps---cn2-,δίγυιος δίγυιος δίγυιον,,,,,0
24827,δ02854,διγωνία,n,n-s---fn1l,διγωνίας,,,,,0
24828,δ02855,δίδαγμα,n,n-s---nn3t,διδάγματος,,,,,0
24829,δ02856,διδαγμοσύνη,n,n-s---fn1e,διδαγμοσύνης,,,,,0
24830,δ02857,διδακτέον,a,----------,,,,,,0
24832,δ02859,διδακτήριος,a,aps---cn2-,διδακτήριος διδακτήριος διδακτήριον,,,,,0
24833,δ02860,διδακτικός,a,aps---mn1-,διδακτικός διδακτική διδακτικόν,,,,,0
24834,δ02861,διδακτός,a,----------,,,,,,0
24835,δ02862,δίδακτρα,n,n-p---nn2-,διδάκτρων,,,,,0
24836,δ02863,διδακτυλιαῖος,a,aps---mn1-,διδακτυλιαῖος διδακτυλιαῖα διδακτυλιαῖον,,,,,0
24837,δ02864,δίδαξις,n,----------,,,,,,0
24838,δ02865,διδασκαλεῖον,n,n-s---nn2-,διδασκαλείου,,,,,0
24839,δ02866,διδασκαλία,n,n-s---fn1l,διδασκαλίας,,,/di.das.ka.lí.aː/,,0
24840,δ02867,διδασκαλικός,a,aps---mn1-,διδασκαλικός διδασκαλική διδασκαλικόν,,,,,0
24841,δ02868,διδασκάλιον,n,n-s---nn2-,διδασκαλίου,,,,,0
24842,δ02869,διδάσκαλος,n,n-s---mn2-,διδασκάλου,,,/di.dás.ka.los/,,0
24843,δ02870,διδάσκω,v,----------,,,,/di.dás.kɔː/,,0
24844,δ02871,διδαχή,n,n-s---fn1e,διδαχῆς,,,/di.da.kʰɛ̌ː/,,0
24845,δ02872,δίδημι,v,----------,,,,,,0
24846,δ02874,δίδραγμον,n,n-s---nn2-,διδράγμου,,,,,0
24847,δ02875,διδράσκω,v,----------,,,,,,0
24848,δ02876,διδραχμία,n,n-s---fn1l,διδραχμίας,,,,,0
25576,δ03578,διοίσω,v,----------,,,,,,0
24850,δ02878,δίδραχμος,a,aps---cn2-,δίδραχμος δίδραχμος δίδραχμον,,,,,0
24851,δ02879,διδυμαγενεῖς,n,----------,,,,,,0
24852,δ02881,διδυμαῖον,n,n-s---nn2-,διδυμαίου,,,,,0
24853,,Διδυμαῖος,n,n-s---mn2-,Διδυμαίου,,,,,0
24854,δ02880,διδυμάνωρ,n,----------,,,,,,0
24855,δ02882,διδυμάων,a,----------,,,,,,0
24856,δ02883,διδυμεύω,v,----------,,,,,,0
24857,δ02884,διδύμη,n,----------,,,,,,0
24858,δ02885,διδυμητοκέω,v,----------,,,,,,0
24859,δ02886,διδυμητόκος,a,aps---cn2-,διδυμητόκος διδυμητόκος διδυμητόκον,,,,,0
24860,δ02887,διδύμια,a,----------,,,,,,0
24861,δ02888,διδύμιος,n,----------,,,,,,0
24862,δ02889,δίδυμνος,n,----------,,,,,,0
24864,δ02891,διδυμόγονος,a,aps---cn2-,διδυμόγονος διδυμόγονος διδυμόγονον,,,,,0
24865,δ02892,διδυμόζυγος,a,aps---cn2-,διδυμόζυγος διδυμόζυγος διδυμόζυγον,,,,,0
24866,δ02893,διδύμοζυξ,n,----------,,,,,,0
24867,δ02894,διδυμόθροος,a,aps---cn2-,διδυμόθροος διδυμόθροος διδυμόθροον,,,,,0
24868,δ02895,διδυμόκτυπος,a,aps---cn2-,διδυμόκτυπος διδυμόκτυπος διδυμόκτυπον,,,,,0
24869,δ02896,δίδυμος,n,----------,,,,,,0
24870,δ02897,διδυμόστροφος,a,aps---cn2-,διδυμόστροφος διδυμόστροφος διδυμόστροφον,,,,,0
24871,δ02898,διδυμότης,n,n-s---fn3t,διδυμότητος,,,,,0
24872,δ02899,διδυμοτοκέω,v,----------,,,,,,0
24873,δ02900,διδυμοτοκία,n,n-s---fn1l,διδυμοτοκίας,,,,,0
24874,δ02901,διδυμοτόκος,a,aps---cn2-,διδυμοτόκος διδυμοτόκος διδυμοτόκον,,,,,0
24875,δ02902,διδυμόχροος,a,aps---cn2-,διδυμόχροος διδυμόχροος διδυμόχροον,,,,,0
24876,,Διδυμών,n,----------,,,,,,0
24877,δ02903,δίδυξ,n,----------,,,,,,0
